"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
39035118200,39,035,118200,71.3,2.3044,3
39035118301,39,035,118301,72.2,1.9193,3
39035118400,39,035,118400,70.1,3.3351,3
39035118500,39,035,118500,70.4,3.0298,3
39035118602,39,035,118602,66.1,2.4273,3
39035118800,39,035,118800,78.8,1.9031,3
39035119202,39,035,119202,65.4,2.2415,3
39035119300,39,035,119300,69.9,1.7143,3
39035119401,39,035,119401,74.7,1.3391,2
39035119402,39,035,119402,74.2,2.1159,3
39035119501,39,035,119501,79.7,1.8606,3
39035119600,39,035,119600,69.1,3.007,3
39035119701,39,035,119701,73.2,2.9669,3
39035119702,39,035,119702,70.7,2.5118,3
39035119800,39,035,119800,72,1.0637,2
39035119900,39,035,119900,72,2.8241,2
39035120200,39,035,120200,73.1,2.8999,3
39035120400,39,035,120400,71.7,2.5911,3
39035120500,39,035,120500,72.1,1.7448,3
39035120600,39,035,120600,72.5,2.5551,3
39035120701,39,035,120701,71.8,2.1658,3
39035120801,39,035,120801,70.7,2.2012,1
39035120802,39,035,120802,70.2,2.2996,1
39035121100,39,035,121100,75.5,3.1681,3
39035121200,39,035,121200,71.8,1.9542,3
39035121300,39,035,121300,76.2,2.6814,3
39035121403,39,035,121403,74.9,2.0935,3
39035121500,39,035,121500,71.9,3.3252,3
39035121700,39,035,121700,76.3,1.4832,3
39035121800,39,035,121800,76,2.1387,3
39035121900,39,035,121900,71.6,1.4348,2
39035122100,39,035,122100,71.6,1.1128,2
39035122200,39,035,122200,70.2,1.8754,3
39035122300,39,035,122300,71.4,2.4318,3
39035123100,39,035,123100,79.8,1.9923,3
39035123200,39,035,123200,77.9,1.5567,3
39035123400,39,035,123400,78.3,1.5569,3
39035123501,39,035,123501,76.5,2.0245,3
39035123502,39,035,123502,76.9,3.926,3
39035123602,39,035,123602,74.9,1.1794,3
39035123603,39,035,123603,77,1.8408,3
39035123700,39,035,123700,73.9,1.9249,3
39035123800,39,035,123800,75.2,1.9515,3
39035123900,39,035,123900,71.1,2.1286,3
39035124100,39,035,124100,72.8,2.1495,3
39035124201,39,035,124201,74.6,2.041,3
39035124202,39,035,124202,71.5,2.2394,3
39035124300,39,035,124300,73.1,1.0414,2
39035124500,39,035,124500,75.2,1.2412,2
39035124600,39,035,124600,71.1,1.3494,3
39035126100,39,035,126100,73.8,2.1112,3
39035127501,39,035,127501,73.6,2.0313,1
39035130103,39,035,130103,81.8,0.9888,3
39035130104,39,035,130104,82.1,1.3315,3
39035130105,39,035,130105,79.4,1.2766,3
39035130106,39,035,130106,79.7,1.1997,3
39035131102,39,035,131102,79.4,1.3508,3
39035131103,39,035,131103,85.2,1.7901,3
39035131104,39,035,131104,79.4,0.9914,3
39035132100,39,035,132100,77,1.3607,3
39035132200,39,035,132200,75.6,1.4968,3
39035132301,39,035,132301,76.1,1.7838,3
39035132302,39,035,132302,72.7,1.8857,3
39035133103,39,035,133103,73.1,3.8558,3
39035133104,39,035,133104,74.9,2.5926,3
39035134100,39,035,134100,74.4,2.1625,3
39035134203,39,035,134203,80.6,2.3973,3
39035134204,39,035,134204,76.3,2.1109,3
39035134206,39,035,134206,78.1,1.2185,3
39035134300,39,035,134300,80.5,1.0586,2
39035135103,39,035,135103,82.4,1.7201,3
39035135104,39,035,135104,82.2,1.1538,3
39035135105,39,035,135105,84.4,1.9975,3
39035135106,39,035,135106,79.3,2.019,3
39035136101,39,035,136101,80.9,1.5156,3
39035136102,39,035,136102,81,1.253,3
39035136103,39,035,136103,81.9,1.3233,3
39035137101,39,035,137101,74.5,1.9098,3
39035137102,39,035,137102,77.5,1.4115,3
39035137103,39,035,137103,77.3,1.2752,3
39035138105,39,035,138105,76,1.5571,2
39035138106,39,035,138106,75.5,1.4929,3
39035138107,39,035,138107,75.7,1.6455,3
39035138108,39,035,138108,76.2,1.0363,2
39035138109,39,035,138109,76.7,1.1396,3
39035138110,39,035,138110,75.7,1.1819,3
39035140100,39,035,140100,74.6,1.9805,3
39035140301,39,035,140301,79,2.8675,3
39035140302,39,035,140302,80.9,3.0528,3
39035140400,39,035,140400,79.4,3.1651,3
39035140500,39,035,140500,77.6,1.2898,3
39035140600,39,035,140600,76.3,3.2977,3
39035140701,39,035,140701,78,2.027,3
39035140702,39,035,140702,75.5,2.4357,3
39035140800,39,035,140800,79.8,1.4829,3
39035140900,39,035,140900,80.4,2.6694,3
39035141200,39,035,141200,83.2,3.4172,3
39035141300,39,035,141300,80.8,1.3528,3
39035141400,39,035,141400,82.3,2.0102,3
39035141500,39,035,141500,79.5,3.5604,3
39035141601,39,035,141601,79.8,1.1014,2
39035141602,39,035,141602,75.2,1.9523,3
39035141700,39,035,141700,79.8,1.2433,2
39035150100,39,035,150100,72,1.4706,2
39035150300,39,035,150300,72,2.1435,2
39035150400,39,035,150400,69.8,2.322,3
39035151100,39,035,151100,71.7,2.4476,3
39035151200,39,035,151200,73.5,2.7312,3
39035151300,39,035,151300,72.5,3.0314,3
39035151400,39,035,151400,71.6,1.6562,2
39035151500,39,035,151500,70.4,3.2454,1
39035151600,39,035,151600,72.1,1.7107,2
39035151700,39,035,151700,70.6,2.4074,3
39035151800,39,035,151800,69.4,1.9627,3
39035152101,39,035,152101,79.8,1.1605,3
39035152102,39,035,152102,75.4,1.3231,3
39035152201,39,035,152201,73.9,1.5234,3
39035152202,39,035,152202,71.6,1.0074,2
39035152302,39,035,152302,77.3,1.1855,3
39035152303,39,035,152303,76,1.3776,3
39035152400,39,035,152400,74.5,2.0649,3
39035152501,39,035,152501,75.5,1.5231,3
39035152502,39,035,152502,74.8,1.7285,3
39035152702,39,035,152702,74.5,1.5,3
39035152703,39,035,152703,80.9,2.5814,3
39035153103,39,035,153103,81.4,1.8538,3
39035153104,39,035,153104,79.1,1.1802,3
39035153105,39,035,153105,76.5,1.2846,3
39035153106,39,035,153106,79.8,1.395,3
39035153107,39,035,153107,81.5,1.3575,3
39035154100,39,035,154100,73.1,1.5004,3
39035154200,39,035,154200,77,1.6629,3
